Timestamp	SourceIP	SourcePort	DestIP	DestPort	Protocol
____________________________________________________________________________________________________
17:20:15 		192.168.56.1 		52011 		239.255.255.250 		1900 		UDP 
17:20:16 		192.168.56.1 		52011 		239.255.255.250 		1900 		UDP 
17:21:20 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
17:21:20 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
17:21:25 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
17:21:25 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
17:22:13 		192.168.56.1 		43385 		239.255.255.250 		1900 		UDP 
17:22:14 		192.168.56.1 		43385 		239.255.255.250 		1900 		UDP 
17:22:15 		192.168.56.1 		43385 		239.255.255.250 		1900 		UDP 
17:22:16 		192.168.56.1 		43385 		239.255.255.250 		1900 		UDP 
17:24:13 		192.168.56.1 		47891 		239.255.255.250 		1900 		UDP 
17:24:14 		192.168.56.1 		47891 		239.255.255.250 		1900 		UDP 
17:24:15 		192.168.56.1 		47891 		239.255.255.250 		1900 		UDP 
17:24:16 		192.168.56.1 		47891 		239.255.255.250 		1900 		UDP 
17:26:13 		192.168.56.1 		42232 		239.255.255.250 		1900 		UDP 
17:26:14 		192.168.56.1 		42232 		239.255.255.250 		1900 		UDP 
17:26:15 		192.168.56.1 		42232 		239.255.255.250 		1900 		UDP 
17:26:16 		192.168.56.1 		42232 		239.255.255.250 		1900 		UDP 
17:28:13 		192.168.56.1 		39826 		239.255.255.250 		1900 		UDP 
17:28:14 		192.168.56.1 		39826 		239.255.255.250 		1900 		UDP 
17:28:15 		192.168.56.1 		39826 		239.255.255.250 		1900 		UDP 
17:28:16 		192.168.56.1 		39826 		239.255.255.250 		1900 		UDP 
17:28:58 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
17:28:58 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
17:29:3 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
17:29:3 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
17:29:47 		fe80::800:27ff:fe00:0 		-1 		ff02::2 		-1 		 
17:30:13 		192.168.56.1 		50934 		239.255.255.250 		1900 		UDP 
17:30:14 		192.168.56.1 		50934 		239.255.255.250 		1900 		UDP 
17:30:15 		192.168.56.1 		50934 		239.255.255.250 		1900 		UDP 
17:30:16 		192.168.56.1 		50934 		239.255.255.250 		1900 		UDP 
17:32:13 		192.168.56.1 		34781 		239.255.255.250 		1900 		UDP 
17:32:14 		192.168.56.1 		34781 		239.255.255.250 		1900 		UDP 
17:32:15 		192.168.56.1 		34781 		239.255.255.250 		1900 		UDP 
17:32:16 		192.168.56.1 		34781 		239.255.255.250 		1900 		UDP 
17:34:13 		192.168.56.1 		42006 		239.255.255.250 		1900 		UDP 
17:34:14 		192.168.56.1 		42006 		239.255.255.250 		1900 		UDP 
17:34:15 		192.168.56.1 		42006 		239.255.255.250 		1900 		UDP 
17:34:16 		192.168.56.1 		42006 		239.255.255.250 		1900 		UDP 
17:35:29 		fe80::71d:721f:d135:ef73 		5353 		ff02::fb 		5353 		DNS 
17:35:29 		fe80::800:27ff:fe00:0 		-1 		ff02::1:ff00:0 		-1 		 
17:35:29 		192.168.56.102 		5353 		224.0.0.251 		5353 		DNS 
17:35:33 		fe80::f635:4ad6:9fce:fd28 		5353 		ff02::fb 		5353 		DNS 
17:35:33 		192.168.56.101 		5353 		224.0.0.251 		5353 		DNS 
17:35:52 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:35:54 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:35:56 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:35:58 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:36:0 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:36:2 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:36:4 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:36:6 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
17:36:8 		192.168.56.1 		219 		192.168.56.102 		219 		ARP 
